Init SDL :OK 
Open audio:OK 
main
fill_audio 2048:
i: 0 	1024 	 0
i: 1 	1024 	 -3569
i: 2 	1024 	 -5737
i: 3 	1024 	 -5655
i: 4 	1024 	 -3354
i: 5 	1024 	 262
i: 6 	1024 	 3776
i: 7 	1024 	 5809
i: 8 	1024 	 5562
i: 9 	1024 	 3134
i: 10 	1024 	 -523
i: 11 	1024 	 -3976
i: 12 	1024 	 -5869
i: 13 	1024 	 -5459
i: 14 	1024 	 -2907
i: 15 	1024 	 784
i: 16 	1024 	 4169
i: 17 	1024 	 5917
i: 18 	1024 	 5345
i: 19 	1024 	 2675
i: 20 	1024 	 -1043
i: 21 	1024 	 -4353
i: 22 	1024 	 -5955
i: 23 	1024 	 -5221
i: 24 	1024 	 -2438
i: 25 	1024 	 1301
i: 26 	1024 	 4529
i: 27 	1024 	 5981
i: 28 	1024 	 5086
i: 29 	1024 	 2196
i: 30 	1024 	 -1555
i: 31 	1024 	 -4697
i: 32 	1024 	 -5996
i: 33 	1024 	 -4942
i: 34 	1024 	 -1950
i: 35 	1024 	 1807
i: 36 	1024 	 4856
i: 37 	1024 	 5999
i: 38 	1024 	 4789
i: 39 	1024 	 1700
i: 40 	1024 	 -2055
i: 41 	1024 	 -5005
i: 42 	1024 	 -5991
i: 43 	1024 	 -4627
i: 44 	1024 	 -1447
i: 45 	1024 	 2300
i: 46 	1024 	 5145
i: 47 	1024 	 5971
i: 48 	1024 	 4455
i: 49 	1024 	 1191
i: 50 	1024 	 -2540
i: 51 	1024 	 -5275
i: 52 	1024 	 -5940
i: 53 	1024 	 -4275
i: 54 	1024 	 -933
i: 55 	1024 	 2775
i: 56 	1024 	 5395
i: 57 	1024 	 5898
i: 58 	1024 	 4087
i: 59 	1024 	 673
i: 60 	1024 	 -3005
i: 61 	1024 	 -5504
i: 62 	1024 	 -5844
i: 63 	1024 	 -3892
i: 64 	1024 	 -412
i: 65 	1024 	 3229
i: 66 	1024 	 5603
i: 67 	1024 	 5780
i: 68 	1024 	 3688
i: 69 	1024 	 150
i: 70 	1024 	 -3447
i: 71 	1024 	 -5692
i: 72 	1024 	 -5704
i: 73 	1024 	 -3478
i: 74 	1024 	 111
i: 75 	1024 	 3658
i: 76 	1024 	 5769
i: 77 	1024 	 5617
i: 78 	1024 	 3261
i: 79 	1024 	 -373
i: 80 	1024 	 -3862
i: 81 	1024 	 -5836
i: 82 	1024 	 -5519
i: 83 	1024 	 -3038
i: 84 	1024 	 635
i: 85 	1024 	 4059
i: 86 	1024 	 5891
i: 87 	1024 	 5411
i: 88 	1024 	 2809
i: 89 	1024 	 -895
i: 90 	1024 	 -4248
i: 91 	1024 	 -5935
i: 92 	1024 	 -5293
i: 93 	1024 	 -2574
